"Age","Education","Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Class"
-0.95197,-0.61113,-0.57009,0.1144,0.04257,-0.80615,0.88309,-0.30172,1.13407,-0.21712,0.7654,"1"
-0.07854,0.45468,-0.57009,-0.31685,-0.46725,0.47617,1.43533,-0.30172,-0.40581,0.19268,0.7654,"1"
-0.95197,-0.61113,-0.57009,-0.31685,-0.34799,0.80523,1.43533,0.59042,-0.00665,0.19268,1.2247,"1"
1.09449,-0.05921,0.96082,-0.31685,0.04257,0.63779,-1.68062,-1.07533,-0.00665,-0.71126,-1.18084,"0"
-0.95197,-0.05921,-0.57009,-0.31685,1.02119,0.96248,0.29338,-1.6209,-0.89891,0.88113,0.40148,"1"
-0.07854,-0.61113,-0.28519,-0.31685,0.91093,-0.94779,1.24033,-0.01729,-0.65253,-0.21712,-0.84637,"1"
2.59171,-0.05921,0.96082,-0.31685,-1.05308,-0.30033,0.29338,0.43852,0.7583,-0.21712,-0.52593,"0"
-0.95197,-0.61113,-0.57009,-0.31685,1.8399,-1.23177,0.14143,-1.47955,-1.0145,0.88113,1.2247,"1"
-0.07854,1.16365,0.96082,-0.31685,1.8399,-0.94779,-0.31776,-1.772,-2.04506,1.29221,1.92173,"0"
1.09449,-1.7379,0.96082,-0.31685,0.41667,-1.37639,-2.09015,0.59042,-0.27607,-1.37983,-2.07848,"0"
-0.07854,1.98437,0.96082,-0.31685,-1.05308,1.45421,-0.84732,0.94156,0.58489,-0.71126,-0.52593,"0"
-0.95197,-0.05921,0.96082,-0.31685,0.41667,1.2861,1.06238,-0.01729,-0.40581,0.52975,0.07987,"1"
-0.95197,-1.22751,-0.57009,-0.31685,-0.92104,-1.23177,-0.71727,-1.07533,0.58489,-0.71126,-0.52593,"1"
-0.95197,-0.61113,-0.57009,-0.31685,-0.24649,-0.80615,-1.27553,-1.34289,-1.92173,-0.71126,0.07987,"1"
-0.07854,1.16365,-0.46841,-0.31685,0.62967,-0.69509,0.14143,-1.21213,-0.27607,-0.21712,-0.21575,"1"
-0.95197,-0.61113,0.96082,-0.31685,0.22393,0.96248,-0.97631,-0.60633,0.58489,1.29221,0.40148,"0"
-0.95197,-0.05921,0.96082,-0.31685,0.52135,0.47617,1.88511,-0.01729,-0.52745,0.52975,0.7654,"1"
-0.07854,0.45468,0.96082,-0.31685,1.60383,0.80523,1.43533,0.13136,-1.13788,0.52975,0.40148,"1"
0.49788,-0.05921,0.24923,-0.31685,0.41667,-0.43999,0.7233,0.28783,0.7583,0.88113,0.7654,"0"
-0.07854,0.45468,0.96082,-0.31685,0.04257,1.58487,1.24033,1.2861,0.58489,1.29221,0.40148,"1"
0.49788,0.45468,0.96082,-0.31685,0.82562,0.00332,1.06238,1.81866,-0.40581,-0.21712,-0.21575,"0"
-0.07854,1.16365,-0.57009,-0.31685,0.91093,0.63779,-0.45174,-1.21213,-0.78155,0.88113,1.92173,"0"
-0.95197,-0.61113,0.24923,-0.31685,-1.43907,1.11406,0.58331,-0.60633,-0.78155,0.88113,0.40148,"1"
-0.95197,-0.61113,-0.28519,-0.31685,-1.1943,1.11406,1.24033,-1.6209,-0.65253,0.52975,1.2247,"0"
-0.95197,-1.22751,0.96082,-0.31685,0.31287,0.80523,-0.01928,-0.91699,1.13407,0.52975,0.7654,"0"
0.49788,0.45468,0.96082,-0.31685,-0.34799,-0.30033,0.14143,-0.30172,-1.64101,-0.21712,-0.84637,"1"
-0.95197,-1.22751,0.24923,-0.31685,0.41667,0.16767,-0.01928,-0.91699,-0.89891,0.52975,0.07987,"1"
0.49788,-0.05921,0.96082,-0.31685,0.41667,0.16767,-0.01928,-0.45321,-0.52745,-0.21712,0.40148,"1"
0.49788,0.45468,0.96082,-0.31685,-0.34799,-1.23177,-1.97495,0.28783,-0.27607,-1.37983,-1.18084,"0"
-0.07854,1.16365,0.96082,-0.31685,-0.14882,-0.57545,-0.45174,0.43852,0.25953,-1.37983,-1.54858,"0"
0.49788,-0.05921,0.96082,-0.31685,0.82562,-0.80615,-0.58331,0.43852,-0.40581,0.19268,0.40148,"0"
0.49788,1.98437,-0.28519,-0.31685,1.72012,-0.15487,0.88309,-1.07533,-0.40581,-0.21712,-0.21575,"0"
-0.95197,-0.61113,-0.57009,-0.31685,1.49158,-0.57545,-0.71727,-0.45321,-1.5184,1.29221,0.7654,"1"
-0.95197,-2.43591,-0.57009,-0.31685,0.62967,-0.15487,0.88309,-0.45321,-1.38502,0.19268,1.92173,"1"
1.82213,-1.7379,0.96082,-0.31685,0.31287,-0.30033,-0.71727,-1.6209,0.41594,-0.21712,-1.18084,"0"
-0.07854,0.45468,-0.09765,-0.31685,0.13606,-2.32338,0.29338,-1.07533,-0.89891,-0.71126,-0.52593,"1"
-0.95197,-0.61113,-0.57009,-0.31685,0.73545,0.47617,-0.71727,-1.47955,-0.52745,1.86203,0.7654,"0"
-0.07854,1.16365,0.96082,-0.22166,0.31287,-0.94779,-0.58331,2.75696,1.46191,-1.37983,-1.18084,"0"
-0.95197,-0.61113,0.96082,-0.31685,-0.67825,0.00332,-0.45174,-0.91699,0.25953,0.52975,1.92173,"1"
0.49788,0.45468,0.24923,-0.31685,0.13606,-1.09207,0.29338,-0.15487,0.7583,-1.37983,-1.54858,"0"
1.09449,-1.7379,0.96082,-0.31685,-0.05188,-0.30033,-1.68062,1.2861,1.46191,-1.37983,-1.18084,"0"
1.09449,-0.05921,0.96082,-0.31685,1.13281,-1.37639,1.43533,-0.45321,-1.38502,1.86203,1.92173,"1"
-0.95197,-0.61113,-0.57009,-0.31685,-0.58016,0.32197,0.58331,1.11406,0.25953,-0.71126,-0.52593,"1"
-0.95197,-0.61113,0.96082,-1.10702,0.04257,-0.94779,0.44585,-0.60633,-0.89891,0.52975,1.2247,"1"
-0.95197,-0.61113,0.96082,-0.31685,-0.05188,-1.50796,-1.27553,-0.60633,-1.78169,1.29221,-0.84637,"0"
-0.95197,-0.61113,-0.57009,-0.31685,0.41667,-0.57545,0.44585,-0.30172,-0.40581,-0.21712,-0.21575,"1"
-0.07854,-0.61113,-0.57009,-0.31685,-0.34799,-2.44904,-1.27553,-0.76096,-0.27607,0.19268,0.7654,"1"
-0.95197,-0.61113,-0.57009,-0.31685,0.82562,2.127,1.88511,0.13136,-0.65253,1.86203,1.92173,"1"
0.49788,-0.61113,-0.28519,-0.31685,1.72012,-0.94779,-1.82919,0.76096,-1.0145,0.19268,-2.07848,"0"
-0.07854,0.45468,-0.57009,-0.31685,-0.24649,0.63779,1.24033,0.76096,0.58489,0.19268,1.2247,"0"
-0.95197,1.16365,0.96082,-0.31685,-1.1943,0.80523,-0.84732,-0.15487,0.7583,0.19268,-0.52593,"0"
-0.95197,-0.61113,0.96082,-0.31685,-0.79151,1.2861,-0.31776,-0.15487,-0.52745,0.19268,0.40148,"1"
-0.95197,-0.61113,-0.57009,-0.31685,0.91093,0.00332,1.06238,-1.21213,-1.5184,1.29221,0.40148,"1"
0.49788,0.45468,-0.57009,0.1144,-0.14882,-0.94779,1.24033,-0.60633,-1.64101,0.52975,1.2247,"1"
-0.07854,0.45468,0.96082,-0.31685,-0.05188,-0.57545,1.24033,1.2861,-0.52745,0.19268,0.7654,"1"
1.09449,-0.05921,0.96082,-0.31685,0.62967,0.80523,0.44585,-0.30172,-0.78155,1.29221,1.92173,"0"
0.49788,-0.05921,0.96082,-1.10702,-0.92104,1.45421,-1.27553,-0.45321,-0.00665,-0.21712,0.07987,"0"
0.49788,1.98437,0.96082,-0.31685,-1.69163,-0.94779,-1.55521,1.81866,0.58489,-2.55524,-0.84637,"0"
-0.95197,-0.61113,-0.57009,-0.31685,1.72012,-0.57545,1.65653,0.13136,-0.40581,0.88113,1.2247,"1"
-0.95197,0.45468,-0.57009,-0.31685,-1.1943,-0.94779,-0.71727,-0.30172,-0.40581,-0.21712,-0.52593,"1"
0.49788,-1.22751,0.96082,-0.31685,-0.58016,-1.6334,-1.97495,0.94156,0.41594,0.52975,0.07987,"0"
1.09449,1.16365,0.96082,-0.31685,0.31287,-0.80615,0.14143,0.59042,-0.78155,-0.71126,-0.84637,"0"
-0.95197,-0.61113,0.96082,-0.31685,2.28554,-2.11437,-0.31776,-0.01729,-2.04506,-1.37983,-1.54858,"0"
-0.95197,-0.61113,-0.57009,-0.31685,0.41667,0.80523,1.24033,1.11406,0.58489,-0.71126,0.07987,"0"
0.49788,-0.61113,0.96082,-0.31685,0.52135,-0.30033,-0.97631,1.81866,1.63088,-1.37983,-2.07848,"0"
-0.07854,0.45468,0.96082,-0.31685,-1.05308,1.45421,0.14143,1.11406,-0.27607,-1.37983,0.7654,"0"
-0.95197,-0.61113,0.96082,-0.31685,0.41667,-0.57545,-0.45174,0.76096,1.13407,-1.37983,-0.52593,"1"
1.82213,-0.05921,0.96082,-0.31685,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,"0"
-0.95197,1.16365,-0.28519,-0.31685,-0.79151,-0.30033,-0.31776,-0.91699,-0.14277,0.52975,0.7654,"1"
-0.07854,1.98437,0.96082,-0.31685,0.04257,0.47617,0.44585,0.76096,-0.14277,1.86203,1.2247,"1"
-0.95197,-2.43591,0.96082,-0.31685,1.98437,-1.37639,0.29338,-1.92595,-1.64101,-0.21712,0.07987,"1"
-0.07854,-0.05921,0.96082,-0.31685,-0.58016,-0.43999,-2.39883,0.13136,-0.40581,-0.71126,-0.21575,"0"
0.49788,-0.05921,-0.57009,-0.31685,0.41667,-1.23177,0.14143,-0.15487,0.58489,0.52975,0.07987,"1"
1.09449,-1.43719,0.96082,-0.31685,-0.34799,-0.80615,-0.84732,0.28783,0.93949,-1.37983,-2.07848,"0"
-0.07854,0.45468,0.96082,-0.31685,-1.32828,0.80523,-1.27553,-1.07533,-0.14277,-0.21712,0.40148,"0"
1.09449,-1.7379,0.96082,-0.31685,1.37297,-0.30033,-0.31776,0.13136,-0.14277,0.88113,0.40148,"0"
0.49788,-1.7379,0.96082,-0.31685,-0.46725,0.16767,-0.45174,1.2861,0.58489,-1.37983,-0.52593,"0"
-0.95197,-0.61113,-0.57009,-0.31685,0.52135,-0.30033,-0.58331,-0.76096,-0.52745,-0.21712,0.7654,"1"
-0.07854,0.45468,0.96082,-0.31685,-1.69163,1.2861,1.24033,0.13136,1.13407,0.52975,1.92173,"1"
0.49788,-1.7379,0.96082,-0.31685,0.73545,-0.57545,-2.09015,-0.76096,-1.92173,-0.21712,-0.52593,"0"
-0.95197,-1.7379,-0.57009,-0.31685,1.02119,-1.50796,0.29338,0.13136,-0.89891,0.52975,0.07987,"1"
-0.95197,-0.61113,0.21128,-0.31685,-0.46725,2.127,1.65653,1.11406,0.41594,0.88113,1.2247,"1"
1.09449,1.16365,0.96082,-0.31685,0.41667,0.47617,-0.17779,-0.15487,0.25953,-0.21712,-1.18084,"0"
1.09449,1.16365,0.96082,-0.31685,-0.34799,-0.80615,-0.45174,-1.21213,-0.14277,1.86203,0.40148,"0"
1.09449,0.45468,0.96082,-0.31685,-1.05308,-0.15487,-1.11902,-0.45321,0.58489,-1.37983,-0.84637,"0"
-0.95197,-0.61113,0.96082,-0.31685,-0.46725,0.63779,-0.31776,0.76096,0.93949,-0.71126,-0.21575,"0"
-0.95197,1.16365,0.96082,-0.31685,-0.05188,1.11406,-1.42424,-0.45321,-0.78155,0.88113,1.2247,"0"
1.09449,1.16365,0.96082,-0.31685,0.41667,-0.43999,1.43533,1.2861,0.7583,-0.21712,-0.52593,"0"
0.49788,-0.61113,-0.57009,-0.31685,-0.58016,-0.94779,1.43533,0.28783,-0.65253,-0.21712,0.07987,"1"
-0.95197,-0.61113,-0.57009,-0.31685,1.23461,0.00332,1.06238,-1.21213,-0.78155,0.52975,1.92173,"1"
-0.95197,-0.61113,-0.57009,-0.31685,-3.46436,0.47617,-0.01928,1.2861,2.04506,-0.21712,0.7654,"1"
-0.07854,0.45468,0.96082,-0.31685,-0.46725,-1.7625,-2.8595,-1.47955,-1.13788,-1.37983,0.07987,"0"
0.49788,1.16365,0.96082,-0.31685,-0.24649,-0.15487,-1.27553,0.43852,1.46191,-0.21712,-0.84637,"0"
0.49788,0.45468,-0.57009,-0.31685,-0.34799,-1.09207,0.29338,-0.30172,1.30612,-0.21712,-0.21575,"1"
0.49788,-0.05921,0.96082,-0.31685,0.62967,-1.09207,-0.84732,-0.91699,0.41594,0.19268,0.40148,"1"
-0.07854,1.16365,0.96082,-0.31685,-2.75696,1.2861,-0.58331,0.76096,-0.52745,0.52975,0.07987,"0"
-0.07854,1.98437,-0.09765,-0.31685,0.13606,-0.43999,-1.55521,-0.01729,0.93949,-1.37983,-1.54858,"1"
-0.95197,0.45468,-0.57009,-0.31685,-0.79151,1.74091,1.65653,0.43852,-0.27607,0.19268,0.40148,"1"
-0.95197,-0.61113,-0.57009,-0.31685,1.60383,-1.23177,-0.17779,-0.91699,-0.65253,-0.71126,-0.21575,"1"
-0.95197,1.16365,-0.57009,-0.31685,0.22393,1.58487,0.14143,-1.6209,-1.0145,0.52975,0.40148,"1"
0.49788,-0.61113,-0.57009,-0.31685,0.41667,0.32197,0.29338,0.94156,0.41594,-0.71126,-0.52593,"0"
-0.95197,-0.61113,-0.57009,-0.31685,-3.15735,0.47617,1.24033,1.11406,-1.13788,0.88113,0.7654,"1"
-0.95197,-0.61113,-0.09765,-0.31685,-0.67825,0.32197,0.58331,1.11406,-0.00665,0.19268,0.7654,"1"
-0.95197,-0.61113,0.96082,-0.31685,-0.14882,-0.43999,-0.71727,-0.76096,-1.64101,1.29221,0.7654,"1"
-0.95197,-1.22751,0.24923,-0.31685,0.22393,1.45421,2.15324,-0.30172,-1.0145,1.86203,1.92173,"1"
-0.07854,-1.7379,0.96082,-0.31685,0.91093,-0.15487,-2.21069,0.28783,1.30612,-1.37983,-2.07848,"0"
-0.95197,-1.43719,-0.57009,-0.31685,-1.43907,1.93886,0.44585,0.13136,0.25953,0.88113,1.92173,"1"
-0.95197,-0.61113,-0.28519,0.1144,1.13281,-1.6334,-0.01928,-1.07533,-1.0145,0.19268,0.7654,"1"
-0.07854,0.45468,-0.28519,-0.31685,0.04257,0.63779,1.06238,-0.45321,0.7583,0.19268,1.2247,"1"
-0.95197,-0.05921,-0.57009,0.1144,0.13606,0.00332,0.7233,-2.21844,1.46191,0.88113,1.92173,"1"
0.49788,-1.7379,0.96082,-0.31685,-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,"0"
0.49788,-0.05921,-0.57009,-0.31685,-1.1943,-0.30033,0.7233,0.94156,1.13407,-1.37983,0.07987,"0"
-0.95197,0.45468,-0.57009,-0.31685,0.22393,-1.23177,0.29338,-0.45321,-1.13788,0.19268,-1.18084,"1"
-0.95197,-0.61113,-0.28519,-0.31685,-0.58016,-0.15487,0.29338,-1.6209,-1.38502,0.19268,0.40148,"1"
0.49788,1.16365,0.96082,-0.31685,0.73545,2.32338,0.14143,1.81866,0.12331,0.19268,0.7654,"0"
-0.07854,1.98437,0.96082,-0.31685,-0.34799,2.32338,1.43533,0.59042,0.58489,-0.21712,0.07987,"0"
-0.95197,-0.61113,-0.57009,-0.31685,0.91093,-0.30033,-0.01928,-0.01729,-0.40581,-0.21712,-0.21575,"1"
-0.95197,-0.61113,-0.57009,-0.31685,2.127,-2.72827,-1.27553,0.28783,-1.92173,0.52975,1.2247,"1"
-0.07854,0.45468,0.96082,-0.31685,-0.67825,0.16767,0.58331,0.13136,-0.27607,0.19268,-1.54858,"1"
-0.95197,-0.61113,-0.28519,1.90725,0.04257,-0.30033,-0.17779,-2.07848,-2.04506,1.29221,1.2247,"1"
1.09449,0.45468,-0.57009,-0.31685,-1.1943,0.63779,2.44904,0.76096,1.30612,-1.37983,0.07987,"1"
0.49788,0.45468,0.96082,-0.31685,0.62967,0.16767,-0.71727,-0.91699,-0.89891,-1.37983,-1.18084,"1"
1.82213,-1.7379,-0.57009,-0.31685,-0.14882,-0.30033,-0.17779,0.76096,0.41594,-0.21712,-0.21575,"0"
-0.95197,-0.61113,0.96082,0.1144,-0.24649,0.96248,0.7233,0.28783,-0.27607,0.52975,0.07987,"0"
-0.07854,1.16365,0.96082,-0.31685,-1.69163,0.47617,-1.42424,-0.30172,1.13407,-1.37983,-0.84637,"0"
-0.95197,0.45468,-0.57009,-0.31685,-0.58016,-1.23177,1.06238,-1.21213,0.93949,0.52975,1.92173,"1"
1.09449,1.16365,-0.57009,-0.31685,-0.34799,0.32197,0.14143,-1.21213,0.25953,0.19268,0.40148,"0"
1.82213,0.45468,0.96082,-0.31685,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,"0"
-0.95197,-0.61113,-0.57009,-0.31685,-1.32828,2.32338,-2.39883,-1.47955,-1.38502,1.86203,1.2247,"1"
-0.07854,1.16365,0.96082,0.1144,0.82562,0.32197,0.14143,0.59042,0.93949,-0.71126,-0.52593,"0"
1.82213,1.98437,0.96082,-0.31685,-1.05308,0.00332,-0.01928,0.28783,-0.00665,0.52975,-0.84637,"0"
-0.07854,-0.61113,0.96082,-0.31685,-0.24649,-0.94779,-1.68062,-1.47955,-1.38502,-2.55524,-1.54858,"0"
-0.07854,0.45468,0.96082,-0.31685,0.22393,-1.09207,0.44585,2.75696,-0.65253,-0.71126,0.40148,"1"
-0.95197,-0.61113,-0.57009,-0.31685,-0.92104,1.74091,0.58331,-1.34289,1.13407,0.52975,1.2247,"1"
0.49788,1.16365,0.96082,-0.31685,-0.79151,1.2861,0.14143,-1.07533,1.13407,-0.21712,1.2247,"1"
-0.07854,-1.22751,0.24923,-0.31685,0.41667,0.00332,-2.39883,-0.30172,0.7583,-1.37983,-2.07848,"0"
-0.95197,-0.61113,0.24923,-0.31685,0.62967,-0.94779,0.44585,0.59042,1.13407,1.86203,1.2247,"1"
1.09449,1.16365,0.96082,-0.50212,-2.21844,1.58487,1.24033,0.13136,1.30612,-1.37983,-1.18084,"0"
0.49788,-0.05921,0.96082,-0.31685,-0.79151,-0.15487,-0.01928,1.81866,-0.65253,-0.21712,-1.18084,"1"
